date;code_insee_region;region;tmin;tmax;tmoy
01/01/2016;24;Centre-Val de Loire;1.52;10.73;6.12
01/01/2016;11;ÃŽle-de-France;3.3;8.76;6.03
01/01/2016;75;Nouvelle-Aquitaine;3.32;13.58;8.45
01/01/2016;93;Provence-Alpes-CÃ´te d'Azur;5.3;12.77;9.03
02/01/2016;24;Centre-Val de Loire;6.92;11.22;9.07
02/01/2016;28;Normandie;7.28;10.06;8.67
02/01/2016;53;Bretagne;7.32;10.95;9.14
02/01/2016;76;Occitanie;6.98;11.02;9.0
03/01/2016;93;Provence-Alpes-CÃ´te d'Azur;4.03;9.58;6.81
03/01/2016;76;Occitanie;3.88;11.16;7.52
04/01/2016;53;Bretagne;6.48;11.2;8.84
04/01/2016;76;Occitanie;7.04;10.97;9.0
05/01/2016;24;Centre-Val de Loire;5.23;9.13;7.18
05/01/2016;28;Normandie;5.36;9.38;7.37
06/01/2016;94;Corse;7.2;14.85;11.02
06/01/2016;84;Auvergne-RhÃ´ne-Alpes;2.52;7.78;5.15
06/01/2016;76;Occitanie;3.86;10.38;7.12
06/01/2016;28;Normandie;5.62;9.6;7.61
06/01/2016;53;Bretagne;5.6;12.7;9.15
07/01/2016;76;Occitanie;5.65;15.66;10.65
07/01/2016;44;Grand Est;4.11;9.64;6.88
08/01/2016;24;Centre-Val de Loire;3.22;8.88;6.05
08/01/2016;27;Bourgogne-Franche-ComtÃ©;3.5;8.02;5.76
08/01/2016;28;Normandie;1.02;8.46;4.74
08/01/2016;11;ÃŽle-de-France;2.16;8.0;5.08
09/01/2016;52;Pays de la Loire;5.55;13.2;9.38
09/01/2016;84;Auvergne-RhÃ´ne-Alpes;6.95;11.22;9.09
10/01/2016;53;Bretagne;5.48;10.7;8.09
11/01/2016;76;Occitanie;6.87;13.84;10.35
11/01/2016;84;Auvergne-RhÃ´ne-Alpes;5.6;11.15;8.38
12/01/2016;75;Nouvelle-Aquitaine;5.68;9.31;7.49
12/01/2016;44;Grand Est;3.71;7.79;5.75
12/01/2016;84;Auvergne-RhÃ´ne-Alpes;3.87;8.14;6.0
12/01/2016;24;Centre-Val de Loire;4.48;8.57;6.53
12/01/2016;32;Hauts-de-France;4.94;7.92;6.43
12/01/2016;53;Bretagne;5.15;9.43;7.29
13/01/2016;76;Occitanie;2.19;10.45;6.32
13/01/2016;28;Normandie;2.04;6.94;4.49
14/01/2016;93;Provence-Alpes-CÃ´te d'Azur;1.68;7.02;4.35
14/01/2016;28;Normandie;2.86;7.54;5.2
14/01/2016;52;Pays de la Loire;3.95;8.95;6.45
15/01/2016;44;Grand Est;0.41;3.11;1.76
15/01/2016;32;Hauts-de-France;1.74;4.98;3.36
16/01/2016;94;Corse;3.0;10.75;6.88
17/01/2016;32;Hauts-de-France;-0.02;4.2;2.09
17/01/2016;28;Normandie;-0.62;5.4;2.39
18/01/2016;84;Auvergne-RhÃ´ne-Alpes;-4.26;2.09;-1.09
18/01/2016;27;Bourgogne-Franche-ComtÃ©;-5.6;0.08;-2.76
18/01/2016;32;Hauts-de-France;-2.78;0.08;-1.35
18/01/2016;44;Grand Est;-7.64;-1.53;-4.59
19/01/2016;84;Auvergne-RhÃ´ne-Alpes;-0.34;5.99;2.83
19/01/2016;53;Bretagne;2.92;4.35;3.64
21/01/2016;75;Nouvelle-Aquitaine;0.39;9.87;5.13
21/01/2016;32;Hauts-de-France;-4.3;3.96;-0.17
21/01/2016;27;Bourgogne-Franche-ComtÃ©;-3.42;4.45;0.52
22/01/2016;75;Nouvelle-Aquitaine;2.69;10.9;6.79
22/01/2016;94;Corse;4.7;14.4;9.55
22/01/2016;76;Occitanie;0.85;10.03;5.44
23/01/2016;84;Auvergne-RhÃ´ne-Alpes;3.65;10.24;6.95
23/01/2016;94;Corse;5.0;13.2;9.1
23/01/2016;32;Hauts-de-France;4.38;8.3;6.34
23/01/2016;93;Provence-Alpes-CÃ´te d'Azur;4.02;13.07;8.54
24/01/2016;84;Auvergne-RhÃ´ne-Alpes;-1.13;12.1;5.49
24/01/2016;52;Pays de la Loire;6.95;16.3;11.62
24/01/2016;75;Nouvelle-Aquitaine;4.94;16.51;10.73
24/01/2016;94;Corse;4.5;15.2;9.85
24/01/2016;11;ÃŽle-de-France;4.82;10.88;7.85
25/01/2016;93;Provence-Alpes-CÃ´te d'Azur;2.42;12.75;7.58
25/01/2016;53;Bretagne;7.62;14.77;11.2
26/01/2016;75;Nouvelle-Aquitaine;7.33;14.49;10.91
26/01/2016;53;Bretagne;5.5;12.58;9.04
26/01/2016;27;Bourgogne-Franche-ComtÃ©;1.22;13.12;7.17
26/01/2016;94;Corse;7.1;15.65;11.38
26/01/2016;32;Hauts-de-France;7.44;11.26;9.35
26/01/2016;84;Auvergne-RhÃ´ne-Alpes;2.55;15.42;8.99
27/01/2016;93;Provence-Alpes-CÃ´te d'Azur;6.78;14.08;10.43
27/01/2016;24;Centre-Val de Loire;7.65;12.22;9.93
28/01/2016;44;Grand Est;5.53;9.61;7.57
28/01/2016;93;Provence-Alpes-CÃ´te d'Azur;7.1;15.17;11.13
28/01/2016;32;Hauts-de-France;4.1;8.46;6.28
29/01/2016;75;Nouvelle-Aquitaine;4.78;10.82;7.8
29/01/2016;94;Corse;7.45;16.05;11.75
29/01/2016;24;Centre-Val de Loire;0.5;9.85;5.18
31/01/2016;11;ÃŽle-de-France;6.08;13.44;9.76
31/01/2016;53;Bretagne;7.98;13.15;10.56
31/01/2016;93;Provence-Alpes-CÃ´te d'Azur;7.2;14.7;10.95
01/02/2016;93;Provence-Alpes-CÃ´te d'Azur;8.53;18.45;13.49
02/02/2016;11;ÃŽle-de-France;7.92;11.98;9.95
02/02/2016;76;Occitanie;8.68;13.46;11.07
02/02/2016;94;Corse;10.25;15.7;12.98
03/02/2016;84;Auvergne-RhÃ´ne-Alpes;2.87;8.4;5.64
